"Percentil";"CLEC";"MATE1";"HIST";"CIEN";"MATE2"
0;100;100;100;100;100
1;364;380;286;303;271
2;376;393;314;317;292
3;387;412;314;324;292
4;397;412;331;327;312
5;410;421;331;332;312
6;410;432;348;335;312
7;424;432;348;341;312
8;440;446;348;344;330
9;440;446;364;344;330
10;440;460;364;346;330
11;455;460;364;351;330
12;455;474;377;355;330
13;467;474;377;357;330
14;467;486;377;363;349
15;477;486;377;363;349
16;477;486;387;368;349
17;477;495;387;368;349
18;484;495;387;371;349
19;484;495;387;376;349
20;492;502;397;381;349
21;492;502;397;381;349
22;492;502;397;383;349
23;500;508;397;389;366
24;500;508;406;389;366
25;500;516;406;393;366
26;511;516;406;393;366
27;511;516;406;394;366
28;511;516;406;399;366
29;525;526;418;399;366
30;525;526;418;402;366
31;525;526;418;402;366
32;540;539;418;403;382
33;540;539;432;407;382
34;540;539;432;407;382
35;555;553;432;409;382
36;555;553;432;409;382
37;555;553;432;410;382
38;567;567;447;412;382
39;567;567;447;412;382
40;567;567;447;415;382
41;576;579;447;415;382
42;576;579;463;417;396
43;576;579;463;417;396
44;583;587;463;420;396
45;583;587;463;420;396
46;583;587;476;422;396
47;583;595;476;423;396
48;590;595;476;426;396
49;590;595;486;427;396
50;590;601;486;430;396
51;597;601;486;430;396
52;597;601;486;435;409
53;597;609;493;438;409
54;607;609;493;439;409
55;607;609;493;446;409
56;607;618;500;450;409
57;619;618;500;451;409
58;619;631;500;458;409
59;619;631;508;463;409
60;634;631;508;464;409
61;634;645;508;471;423
62;634;645;517;476;423
63;650;660;517;481;423
64;650;660;517;485;423
65;650;660;530;489;423
66;663;672;530;491;423
67;663;672;530;495;423
68;663;682;545;496;438
69;674;682;545;499;438
70;674;690;561;500;438
71;674;690;561;503;438
72;682;699;574;504;438
73;682;699;574;509;438
74;690;710;574;513;453
75;690;710;585;521;453
76;690;723;585;532;453
77;699;723;593;537;453
78;699;738;593;546;467
79;710;738;600;558;467
80;710;753;607;567;467
81;710;767;607;574;479
82;725;767;616;577;479
83;725;780;616;582;479
84;740;780;628;587;489
85;740;793;643;592;489
86;756;807;643;600;499
87;756;807;659;609;499
88;770;824;673;625;511
89;770;824;686;646;524
90;782;842;695;658;524
91;782;861;705;668;538
92;794;861;714;678;552
93;794;880;727;691;564
94;808;900;742;713;574
95;823;900;759;738;592
96;823;923;790;757;603
97;841;948;804;780;631
98;860;948;835;814;667
99;896;975;874;851;716
100;1000;1000;1000;1000;1000
